spcd,common_name,genus,species
6958,dubautia,Dubautia,spp.
6959,Geyer willow,Salix,geyeriana
6961,golden dewdrops,Duranta,erecta
6963,red willow,Salix,laevigata
6965,Durian,Durio,zibethinus
6966,Dypsis lutescens,Dypsis,lutescens
6967,corkscrew willow,Salix,matsudana
6968,maota mea,Dysoxylum,huntii
6969,maota,Dysoxylum,maota
6970,mamala,Dysoxylum,samoense
6971,Dysoxylum,Dysoxylum,spp.
6972,Dysoxylum mollissimum ssp. Molle,Dysoxylum,mollissimum
6973,oil nut palm,Elaeis,guineensis
6974,Kosrae elaeocarpus,Elaeocarpus,Kaneh
6975,kalia,Elaeocarpus,bifidus
6976,syatak,Elaeocarpus,carolinensis
6977,`a`mati`e,Elaeocarpus,floridanus
6978,Elaeocarpus graeffei,Elaeocarpus,graeffei
6979,sapatua,Elaeocarpus,grandis
6980,joga,Elaeocarpus,joga
6981,Elaeocarpus kerstingianus,Elaeocarpus,kerstingianus
6982,"maratte, opop",Elaeocarpus,kusanoi
6983,Elaeocarpus,Elaeocarpus,spp.
6984,aamatie,Elaeocarpus,tonganus
6985,Elaeocarpus,Elaeocarpus,ulianus
6990,taputoi,Elattostachys,falcata
6991,red elderberry,Sambucus,racemosa
6992,utuutu,Eleocharis,dulcis
6994,elaeocarpa,Endiandra,elaeocarpa
6996,monkeysoap,Enterolobium,cyclocarpum
6998,loquat,Eriobotrya,japonica
6999,loquat,Eriobotrya,spp.
7000,blacktorch,Erithalis,fruticosa
7004,machete,Erythrina,berteriana
7005,coral erythrina,Erythrina,corallodendron
7006,crybabytree,Erythrina,crista-galli
7007,cock's spur,Erythrina,eggersii
7008,bucayo,Erythrina,fusca
7011,mountain immortelle,Erythrina,poeppigiana
7012,wili wili,Erythrina,sandwicensis
7013,erythrina,Erythrina,spp.
7014,gatae palagi,Erythrina,subumbrans
7015,tiger's claw,Erythrina,variegata
7016,tiger's claw,Erythrina,variegata
7017,acuminatissimum,Erythrospermum,acuminatissimum
7019,swamp-redwood,Erythroxylum,areolatum
7021,ratwood,Erythroxylum,rotundifolium
7022,rufous false cocaine,Erythroxylum,rufum
7023,Argentine senna,Senna,corymbosa
7024,Urban's false cocaine,Erythroxylum,urbanii
7025,southern mahogany,Eucalyptus,botryoides
7026,applebox,Eucalyptus,bridgesiana
7028,argyle apple,Eucalyptus,cinerea
7030,sugargum,Eucalyptus,cladocalyx
7031,yate,Eucalyptus,cornuta
7032,narrowleaf red ironbark,Eucalyptus,crebra
7033,roundleaf gum,Eucalyptus,deanei
7034,Indonesian gum,Eucalyptus,deglupta
7035,silver-dollar eucalyptus,Eucalyptus,cordata
7036,white ironbark,Eucalyptus,leucoxylon
7038,tuart,Eucalyptus,gomphocephala
7039,mountain graygum,Eucalyptus,goniocalyx
